# BONZAI CONFIDENTIAL
# This map was auto generated

name: Stress Test
size: 50, 25
theme: DEFAULT
playercount: 2

players:
    <25, 1, 346.09644>
    <3, 17>

walls:
    <2, 2>
    <2, 4>
    <2, 5>
    <2, 6>
    <2, 8>
    <2, 9>
    <2, 10>
    <2, 12>
    <2, 13>
    <2, 14>
    <2, 16>
    <2, 17>
    <2, 18>
    <2, 20>
    <2, 21>
    <2, 22>
    <3, 2>
    <3, 4>
    <3, 6>
    <3, 8>
    <3, 10>
    <3, 12>
    <3, 14>
    <3, 16>
    <3, 18>
    <3, 20>
    <3, 22>
    <4, 2>
    <4, 4>
    <4, 5>
    <4, 6>
    <4, 8>
    <4, 10>
    <4, 12>
    <4, 14>
    <4, 16>
    <4, 18>
    <4, 20>
    <4, 22>
    <5, 2>
    <5, 4>
    <5, 6>
    <5, 8>
    <5, 10>
    <5, 12>
    <5, 14>
    <5, 16>
    <5, 18>
    <5, 20>
    <5, 22>
    <6, 2>
    <6, 4>
    <6, 6>
    <6, 8>
    <6, 10>
    <6, 12>
    <6, 14>
    <6, 16>
    <6, 18>
    <6, 20>
    <6, 22>
    <7, 2>
    <7, 4>
    <7, 6>
    <7, 8>
    <7, 10>
    <7, 12>
    <7, 14>
    <7, 16>
    <7, 18>
    <7, 20>
    <7, 22>
    <8, 2>
    <8, 4>
    <8, 6>
    <8, 8>
    <8, 10>
    <8, 12>
    <8, 14>
    <8, 16>
    <8, 18>
    <8, 20>
    <8, 22>
    <9, 2>
    <9, 4>
    <9, 6>
    <9, 8>
    <9, 10>
    <9, 12>
    <9, 14>
    <9, 16>
    <9, 18>
    <9, 20>
    <9, 22>
    <10, 2>
    <10, 4>
    <10, 6>
    <10, 8>
    <10, 10>
    <10, 12>
    <10, 14>
    <10, 16>
    <10, 18>
    <10, 20>
    <10, 22>
    <11, 2>
    <11, 4>
    <11, 6>
    <11, 8>
    <11, 10>
    <11, 12>
    <11, 14>
    <11, 16>
    <11, 18>
    <11, 20>
    <11, 22>
    <12, 2>
    <12, 4>
    <12, 6>
    <12, 8>
    <12, 10>
    <12, 12>
    <12, 14>
    <12, 16>
    <12, 18>
    <12, 20>
    <12, 22>
    <13, 2>
    <13, 4>
    <13, 6>
    <13, 8>
    <13, 10>
    <13, 12>
    <13, 14>
    <13, 16>
    <13, 18>
    <13, 20>
    <13, 22>
    <14, 2>
    <14, 4>
    <14, 6>
    <14, 8>
    <14, 10>
    <14, 12>
    <14, 14>
    <14, 16>
    <14, 18>
    <14, 20>
    <14, 22>
    <15, 2>
    <15, 4>
    <15, 6>
    <15, 8>
    <15, 10>
    <15, 12>
    <15, 14>
    <15, 16>
    <15, 18>
    <15, 20>
    <15, 22>
    <16, 2>
    <16, 4>
    <16, 6>
    <16, 8>
    <16, 10>
    <16, 12>
    <16, 14>
    <16, 16>
    <16, 18>
    <16, 20>
    <16, 22>
    <17, 2>
    <17, 4>
    <17, 6>
    <17, 8>
    <17, 10>
    <17, 12>
    <17, 14>
    <17, 16>
    <17, 18>
    <17, 20>
    <17, 22>
    <18, 2>
    <18, 4>
    <18, 6>
    <18, 8>
    <18, 10>
    <18, 12>
    <18, 14>
    <18, 16>
    <18, 18>
    <18, 20>
    <18, 22>
    <19, 2>
    <19, 4>
    <19, 6>
    <19, 8>
    <19, 10>
    <19, 12>
    <19, 14>
    <19, 16>
    <19, 18>
    <19, 20>
    <19, 22>
    <20, 2>
    <20, 4>
    <20, 6>
    <20, 8>
    <20, 10>
    <20, 12>
    <20, 14>
    <20, 16>
    <20, 18>
    <20, 20>
    <20, 22>
    <21, 2>
    <21, 4>
    <21, 6>
    <21, 8>
    <21, 10>
    <21, 12>
    <21, 14>
    <21, 16>
    <21, 18>
    <21, 20>
    <21, 22>
    <22, 2>
    <22, 4>
    <22, 6>
    <22, 8>
    <22, 10>
    <22, 12>
    <22, 14>
    <22, 16>
    <22, 18>
    <22, 20>
    <22, 22>
    <23, 2>
    <23, 4>
    <23, 6>
    <23, 8>
    <23, 10>
    <23, 12>
    <23, 14>
    <23, 16>
    <23, 18>
    <23, 20>
    <23, 22>
    <24, 2>
    <24, 4>
    <24, 6>
    <24, 8>
    <24, 10>
    <24, 12>
    <24, 14>
    <24, 16>
    <24, 18>
    <24, 20>
    <24, 22>
    <25, 2>
    <25, 4>
    <25, 6>
    <25, 8>
    <25, 10>
    <25, 12>
    <25, 14>
    <25, 16>
    <25, 18>
    <25, 20>
    <25, 22>
    <26, 2>
    <26, 4>
    <26, 6>
    <26, 8>
    <26, 10>
    <26, 12>
    <26, 14>
    <26, 16>
    <26, 18>
    <26, 20>
    <26, 22>
    <27, 2>
    <27, 4>
    <27, 6>
    <27, 8>
    <27, 10>
    <27, 12>
    <27, 14>
    <27, 16>
    <27, 18>
    <27, 20>
    <27, 22>
    <28, 2>
    <28, 4>
    <28, 6>
    <28, 8>
    <28, 10>
    <28, 12>
    <28, 14>
    <28, 16>
    <28, 18>
    <28, 20>
    <28, 22>
    <29, 2>
    <29, 4>
    <29, 6>
    <29, 8>
    <29, 10>
    <29, 12>
    <29, 14>
    <29, 16>
    <29, 18>
    <29, 20>
    <29, 22>
    <30, 2>
    <30, 4>
    <30, 6>
    <30, 8>
    <30, 10>
    <30, 12>
    <30, 14>
    <30, 16>
    <30, 18>
    <30, 20>
    <30, 22>
    <31, 2>
    <31, 4>
    <31, 6>
    <31, 8>
    <31, 10>
    <31, 12>
    <31, 14>
    <31, 16>
    <31, 18>
    <31, 20>
    <31, 22>
    <32, 2>
    <32, 4>
    <32, 6>
    <32, 8>
    <32, 10>
    <32, 12>
    <32, 14>
    <32, 16>
    <32, 18>
    <32, 20>
    <32, 22>
    <33, 2>
    <33, 4>
    <33, 6>
    <33, 8>
    <33, 10>
    <33, 12>
    <33, 14>
    <33, 16>
    <33, 18>
    <33, 20>
    <33, 22>
    <34, 2>
    <34, 4>
    <34, 6>
    <34, 8>
    <34, 10>
    <34, 12>
    <34, 14>
    <34, 16>
    <34, 18>
    <34, 20>
    <34, 22>
    <35, 2>
    <35, 4>
    <35, 6>
    <35, 8>
    <35, 10>
    <35, 12>
    <35, 14>
    <35, 16>
    <35, 18>
    <35, 20>
    <35, 22>
    <36, 2>
    <36, 4>
    <36, 6>
    <36, 8>
    <36, 10>
    <36, 12>
    <36, 14>
    <36, 16>
    <36, 18>
    <36, 20>
    <36, 22>
    <37, 2>
    <37, 4>
    <37, 6>
    <37, 8>
    <37, 10>
    <37, 12>
    <37, 14>
    <37, 16>
    <37, 18>
    <37, 20>
    <37, 22>
    <38, 2>
    <38, 4>
    <38, 6>
    <38, 8>
    <38, 10>
    <38, 12>
    <38, 14>
    <38, 16>
    <38, 18>
    <38, 20>
    <38, 22>
    <39, 2>
    <39, 4>
    <39, 6>
    <39, 8>
    <39, 10>
    <39, 12>
    <39, 14>
    <39, 16>
    <39, 18>
    <39, 20>
    <39, 22>
    <40, 2>
    <40, 4>
    <40, 6>
    <40, 8>
    <40, 10>
    <40, 12>
    <40, 14>
    <40, 16>
    <40, 18>
    <40, 20>
    <40, 22>
    <41, 2>
    <41, 4>
    <41, 6>
    <41, 8>
    <41, 10>
    <41, 12>
    <41, 14>
    <41, 16>
    <41, 18>
    <41, 20>
    <41, 22>
    <42, 2>
    <42, 4>
    <42, 6>
    <42, 8>
    <42, 10>
    <42, 12>
    <42, 14>
    <42, 16>
    <42, 18>
    <42, 20>
    <42, 22>
    <43, 2>
    <43, 4>
    <43, 6>
    <43, 8>
    <43, 10>
    <43, 12>
    <43, 14>
    <43, 16>
    <43, 18>
    <43, 20>
    <43, 22>
    <44, 2>
    <44, 4>
    <44, 6>
    <44, 8>
    <44, 10>
    <44, 12>
    <44, 14>
    <44, 16>
    <44, 18>
    <44, 20>
    <44, 22>
    <45, 2>
    <45, 4>
    <45, 6>
    <45, 8>
    <45, 10>
    <45, 12>
    <45, 14>
    <45, 16>
    <45, 18>
    <45, 20>
    <45, 22>
    <46, 2>
    <46, 4>
    <46, 6>
    <46, 8>
    <46, 10>
    <46, 12>
    <46, 14>
    <46, 16>
    <46, 18>
    <46, 20>
    <46, 22>
    <47, 2>
    <47, 4>
    <47, 6>
    <47, 7>
    <47, 8>
    <47, 10>
    <47, 12>
    <47, 14>
    <47, 16>
    <47, 18>
    <47, 20>
    <47, 22>
    <48, 14>
    <48, 16>
    <48, 20>
